Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Island of Islay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[32409, 1, 'Apr', 1, 'Islay Greenland White-fronted and Barnacle Goose counts', 'SNH adopted counts']","[32812, 1, 'Nov', 1, 'Islay Greenland White-fronted and Barnacle Goose counts', 'SNH adopted counts']","[35172, 1, 'Mar', 1, 'Islay Greenland White-fronted and Barnacle Goose counts', 'SNH adopted counts']","[40054, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[38022, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[35213, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[36478, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[40018, 1, 'Mar', 1, 'Islay Greenland White-fronted and Barnacle Goose counts', 'SNH adopted counts']","[44186, 1, 'Mar', 1, 'Islay Greenland White-fronted and Barnacle Goose counts', 'SNH adopted counts']","[47303, 1, 'Mar', 1, 'Argyll goose counts', 'SNH']","[52709, 1, 'Mar', 1, 'Report of the 2000/2001 National Census of Greenland White-fronted Geese in Britain', 'Fox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.']","[44961, 1, 'Mar', 1, 'Report of the 2000/2001 National Census of Greenland White-fronted Geese in Britain', 'Fox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.']","[44896, 1, 'Mar', 1, 'SNH counts', 'SNH Islay office']","[41098, 1, 'Dec', 1, 'SNH counts', 'SNH Islay office']","[44844, 1, 'Dec', 1, 'SNH counts', 'SNH Islay office']","[46411, 1, 'Mar', 1, 'SNH counts', 'SNH Islay office']","[45670, 1, 'Dec', 1, 'SNH counts', 'SNH Islay office']","[41259, 1, 'Dec', 1, 'Swan roost counts', 'Wildfowl and Wetlands Trust / Royal Society for the Protection of Birds']","[39185, 1, 'Dec', 1, 'SNH counts', 'SNH Kirkwall office']","[43883, 1, 'Dec', 1, 'SNH counts', 'SNH Kirkwall office']","[45714, 1, 'Dec', 1, 'SNH counts', 'SNH Kirkwall office']","[43351, 1, 'Dec', 1, 'SNH counts', 'SNH Kirkwall office']",2019-12-05 17:57:05
Solway Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2200, 1, 'Oct', 0, None, None]","[2400, 1, 'Oct', 0, None, None]","[2249, 1, 'Mar', 0, None, None]","[2800, 1, 'Feb', 0, None, None]","[2032, 1, 'Dec', 0, None, None]","[3718, 1, 'Nov', 0, None, None]","[4650, 1, 'Dec', 0, None, None]","[5200, 1, 'Oct', 0, None, None]","[5500, 1, 'Jan', 0, None, None]","[6500, 1, 'Dec', 0, None, None]","[8146, 1, 'Oct', 0, None, None]","[6750, 1, 'Oct', 0, None, None]","[8800, 1, 'Oct', 0, None, None]","[7200, 1, 'Oct', 0, None, None]","[7200, 1, 'Feb', 0, None, None]","[8100, 1, 'Oct', 0, None, None]","[8500, 1, 'Oct', 0, None, None]","[8400, 1, 'Oct', 0, None, None]","[11500, 1, 'Dec', 0, None, None]","[12390, 1, 'Jan', 0, None, None]","[13557, 2, 'Mar', 0, None, None]","[10409, 1, 'Mar', 0, None, None]","[11195, 1, 'Oct', 0, None, None]","[14008, 1, 'Mar', 0, None, None]","[8000, 1, 'Oct', 0, None, None]","[17700, 1, 'Jan', 0, None, None]","[15139, 2, 'Feb', 0, None, None]","[20640, 2, 'Oct', 0, None, None]","[18349, 1, 'Jan', 0, None, None]","[16845, 1, 'Nov', 0, None, None]","[19191, 1, 'Dec', 0, None, None]","[22437, 1, 'Mar', 0, None, None]","[26540, 1, 'Oct', 0, None, None]","[27440, 2, 'Mar', 0, None, None]","[21380, 1, 'Oct', 0, None, None]","[23524, 1, 'Mar', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[28447, 1, 'Dec', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[21957, 1, 'Jan', 0, None, None]","[28270, 1, 'Dec', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[28450, 1, 'Nov', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[29370, 1, 'Dec', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[28170, 1, 'Feb', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[31111, 1, 'Oct', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[29170, 1, 'Oct', 1, 'WWT reserve counts', 'WWT']","[47000, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[25076, 1, 'Mar', 0, None, None]","[27260, 1, 'Oct', 0, None, None]","[38885, 1, 'Apr', 1, 'WWT reserve counts', 'WWT']","[38826, 1, 'Dec', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[42017, 1, 'Apr', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[43425, 1, 'Oct', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']","[43545, 1, 'Apr', 1, 'Svalbard Barnacle Goose on Solway', 'WWT data']",2019-12-05 17:57:05
Solway Estuary (Scottish counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2200, 1, 'Oct', 0, None, None]","[2400, 1, 'Oct', 0, None, None]","[2200, 1, 'Jan', 0, None, None]","[2800, 1, 'Feb', 0, None, None]","[2032, 1, 'Dec', 0, None, None]","[3718, 1, 'Nov', 0, None, None]","[4650, 1, 'Dec', 0, None, None]","[5200, 1, 'Oct', 0, None, None]","[5500, 1, 'Jan', 0, None, None]","[5000, 1, 'Dec', 0, None, None]","[6500, 1, 'Nov', 0, None, None]","[6750, 1, 'Oct', 0, None, None]","[8800, 1, 'Oct', 0, None, None]","[7200, 1, 'Oct', 0, None, None]","[7200, 1, 'Feb', 0, None, None]","[8100, 1, 'Oct', 0, None, None]","[8500, 1, 'Oct', 0, None, None]","[8400, 1, 'Oct', 0, None, None]","[11500, 1, 'Dec', 0, None, None]","[10400, 1, 'Nov', 0, None, None]","[10516, 1, 'Nov', 0, None, None]","[7012, 1, 'Jan', 0, None, None]","[10980, 1, 'Oct', 0, None, None]","[11000, 1, 'Oct', 0, None, None]","[8000, 1, 'Oct', 0, None, None]","[11474, 1, 'Oct', 0, None, None]","[8700, 1, 'Dec', 0, None, None]","[20640, 2, 'Oct', 0, None, None]","[14867, 1, 'Mar', 0, None, None]","[12460, 1, 'Jan', 0, None, None]","[18391, 1, 'Dec', 0, None, None]","[13340, 1, 'Oct', 0, None, None]","[25490, 1, 'Oct', 0, None, None]","[18280, 1, 'Oct', 0, None, None]","[8880, 1, 'Oct', 0, None, None]","[15795, 1, 'Feb', 0, None, None]","[21880, 1, 'Oct', 0, None, None]","[16780, 1, 'Dec', 0, None, None]","[19700, 1, 'Mar', 0, None, None]","[9320, 1, 'Nov', 0, None, None]","[15016, 1, 'Oct', 0, None, None]","[13975, 1, 'Oct', 0, None, None]","[6360, 1, 'Dec', 0, None, None]","[19137, 1, 'Dec', 0, None, None]","[15702, 1, 'Oct', 0, None, None]","[15590, 1, 'Oct', 0, None, None]","[22181, 1, 'Oct', 0, None, None]","[13366, 1, 'Oct', 0, None, None]","[17624, 1, 'Nov', 0, None, None]","[11090, 1, 'Mar', 0, None, None]","[9276, 1, 'Oct', 0, None, None]","[18179, 1, 'Feb', 0, None, None]",2019-12-05 17:57:05
Solway Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[2249, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2150, 1, 'Mar', 0, None, None]","[182, 1, 'Sep', 0, None, None]",nan,"[3850, 1, 'Mar', 0, None, None]","[1500, 1, 'Dec', 0, None, None]","[3675, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[3020, 1, 'Jan', 0, None, None]","[3010, 1, 'Feb', 0, None, None]","[9048, 1, 'Mar', 0, None, None]","[9657, 2, 'Mar', 0, None, None]","[6700, 1, 'Mar', 0, None, None]","[1000, 1, 'Mar', 0, None, None]","[11008, 1, 'Mar', 0, None, None]","[4400, 1, 'Feb', 0, None, None]","[11000, 1, 'Jan', 0, None, None]","[11001, 1, 'Feb', 0, None, None]","[8001, 2, 'Mar', 0, None, None]","[9000, 1, 'Jan', 0, None, None]","[13294, 1, 'Feb', 0, None, None]","[11555, 1, 'Jan', 0, None, None]","[15682, 1, 'Mar', 0, None, None]","[8296, 1, 'Nov', 0, None, None]","[14790, 2, 'Mar', 0, None, None]","[12500, 1, 'Oct', 0, None, None]","[9538, 1, 'Jan', 0, None, None]","[9571, 2, 'Nov', 0, None, None]","[9318, 1, 'Apr', 0, None, None]","[10410, 1, 'Oct', 0, None, None]","[9760, 1, 'Mar', 0, None, None]","[8891, 1, 'Apr', 0, None, None]","[7667, 2, 'Feb', 0, None, None]","[13759, 2, 'Jan', 0, None, None]","[11541, 1, 'Apr', 0, None, None]","[11573, 1, 'Jan', 0, None, None]","[10540, 1, 'Mar', 0, None, None]","[15609, 1, 'Feb', 0, None, None]","[13047, 1, 'Mar', 0, None, None]","[17453, 1, 'Mar', 0, None, None]","[9695, 1, 'Oct', 0, None, None]","[8787, 1, 'Jan', 0, None, None]","[7889, 1, 'Apr', 0, None, None]",2019-12-05 17:57:05
WWT Caerlaverock (Inland),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5700, 1, 'Dec', 0, None, None]","[12640, 1, 'Oct', 0, None, None]","[10540, 1, 'Oct', 0, None, None]","[6540, 1, 'Dec', 0, None, None]","[9220, 1, 'Oct', 0, None, None]","[9140, 1, 'Oct', 0, None, None]","[14490, 1, 'Oct', 0, None, None]","[15380, 1, 'Oct', 0, None, None]","[3350, 1, 'Dec', 0, None, None]","[7380, 1, 'Dec', 0, None, None]","[14500, 1, 'Oct', 0, None, None]","[11030, 1, 'Jan', 0, None, None]","[10850, 1, 'Jan', 0, None, None]","[9320, 1, 'Nov', 0, None, None]","[9526, 1, 'Oct', 0, None, None]","[10660, 1, 'Oct', 0, None, None]","[6360, 1, 'Dec', 0, None, None]","[2316, 1, 'Feb', 0, None, None]","[8000, 1, 'Jan', 0, None, None]","[13660, 1, 'Oct', 0, None, None]","[8250, 1, 'Oct', 0, None, None]","[5980, 1, 'Dec', 0, None, None]","[10730, 1, 'Oct', 0, None, None]","[5010, 1, 'Apr', 0, None, None]",nan,nan,2019-12-05 17:57:05
Mersehead RSPB Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5000, 1, 'Dec', 0, None, None]","[6000, 1, 'Nov', 0, None, None]","[6000, 1, 'Dec', 0, None, None]",nan,nan,"[6500, 1, 'Mar', 0, None, None]","[7490, 1, 'Oct', 0, None, None]","[6400, 1, 'Mar', 0, None, None]","[8500, 1, 'Jan', 0, None, None]","[5700, 1, 'Dec', 0, None, None]","[9200, 1, 'Oct', 0, None, None]",nan,"[5500, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[7169, 1, 'Dec', 1, 'WWT/JNCC National Grey Goose Census', None]","[9040, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[12210, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[9980, 1, 'Dec', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[6858, 1, 'Dec', 0, None, None]","[8910, 1, 'Oct', 0, None, None]","[5520, 1, 'Oct', 0, None, None]","[7230, 1, 'Feb', 0, None, None]","[7365, 1, 'Oct', 0, None, None]",nan,nan,2019-12-05 17:57:05
Redkirk Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6000, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",2019-12-05 17:57:05
Burgh Marsh (Sandsfield To Drumburgh),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[50, 1, 'Nov', 1, 'WWT/JNCC National Grey Goose Census', None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4800, 1, 'Mar', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",2019-12-05 17:57:05
Tiree,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[484, 1, 'Feb', 0, None, None]","[510, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[1465, 1, 'Apr', 1, 'Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle counts', 'RSPB']","[1479, 1, 'Mar', 1, 'Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle counts', 'RSPB']","[1158, 1, 'Feb', 1, 'Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle counts', 'RSPB']","[1572, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1607, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1442, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2132, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2786, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2796, 1, 'Dec', 1, 'Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle counts', 'RSPB']","[3273, 1, 'Jan', 1, 'Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle counts', 'RSPB']","[3474, 1, 'Jan', 1, 'Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle counts', 'RSPB']","[4323, 1, 'Mar', 1, 'Report of the 2000/2001 National Census of Greenland White-fronted Geese in Britain', 'Fox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.']","[3393, 1, 'Mar', 1, 'Greenland Barnacle Goose survey 2007/08', 'Mitchell et al. 2008']","[3725, 1, 'Mar', 1, 'SNH counts', 'SNH Islay office']","[3729, 1, 'Mar', 1, 'Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle counts', 'RSPB']","[4190, 1, 'Dec', 1, 'Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle counts', 'RSPB']","[4295, 1, 'Mar', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[4518, 1, 'Mar', 1, 'SNH counts', 'SNH Islay office']",nan,"[4693, 1, 'Mar', 1, 'SNH counts', 'SNH Kirkwall office']","[4268, 1, 'Feb', 1, 'SNH counts', 'SNH Kirkwall office']","[5126, 1, 'Mar', 1, 'SNH counts', 'SNH Kirkwall office']","[5042, 1, 'Dec', 1, 'SNH counts', 'SNH Kirkwall office']",2019-12-05 17:57:05
Lindisfarne,nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[24, 1, 'Oct', 0, None, None]","[30, 1, 'Nov', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[40, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[2, 2, 'Sep', 0, None, None]","[43, 1, 'Sep', 0, None, None]","[14, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[26, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[87, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[57, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[200, 1, 'Apr', 0, None, None]","[43, 1, 'Oct', 0, None, None]","[0, 2, '', 0, None, None]","[2, 2, 'Oct', 0, None, None]","[80, 2, 'Oct', 0, None, None]","[118, 1, 'Oct', 0, None, None]","[31, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[93, 1, 'Oct', 0, None, None]","[400, 2, 'Oct', 0, None, None]","[140, 2, 'Dec', 0, None, None]","[786, 1, 'Oct', 0, None, None]","[160, 1, 'Jan', 0, None, None]","[300, 1, 'Dec', 0, None, None]","[1202, 1, 'Oct', 0, None, None]","[190, 2, 'Nov', 0, None, None]","[70, 1, 'Dec', 0, None, None]","[300, 2, 'Oct', 0, None, None]","[42, 1, 'Jan', 0, None, None]","[800, 1, 'Feb', 0, None, None]","[1677, 1, 'Oct', 0, None, None]","[400, 2, 'Oct', 0, None, None]","[1986, 1, 'Oct', 0, None, None]","[850, 2, 'Feb', 0, None, None]","[1400, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[16750, 1, 'Oct', 0, None, None]",2019-12-05 17:57:05
