Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Cuckmere Estuary,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,(0),4,0,nan,1,1,1,2019-11-28 03:30:53
Hartleton Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0.0,0.0,0.0,nan,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,nan,1,1,1,2019-11-28 03:30:53
Southampton Water,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,(0),(0),0,0.0,0.0,0.0,(0),0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1,1.0,0.0,1.0,1.0,1,1,0,1,0,nan,1,1,1,2019-11-28 03:30:53
Arun Valley,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,nan,0,0,1,2019-11-28 03:30:53
Beaulieu Estuary,0.0,0.0,nan,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,nan,0,0,1,2019-11-28 03:30:53
Bothal Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,nan,1,nan,0,nan,0.0,0.0,0.0,0,0,0,0,0,nan,0,0,1,2019-11-28 03:30:53
Bow Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,1,1,Jul,0,0,1,2019-11-28 03:30:53
Brampton Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,(0),1,1,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0,nan,nan,nan,nan,0,0,1,2019-11-28 03:30:53
Buckden and Stirtloe Pits,0.0,0.0,0.0,nan,nan,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,1Supplementary visit under the WeBS Core Count SurveyWeBS,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,nan,nan,nan,nan,nan,0,0.0,0.0,0.0,nan,(0),0,0,0,0,nan,0,0,1,2019-11-28 03:30:53
Burton and Chingford Ponds,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,nan,0,0,1,2019-11-28 03:30:53
