Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Caithness Lochs,6550,3250.0,3050.0,4300.0,4144,7447.0,1950.0,3334.0,5879.0,4995.0,2787.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"10,017Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","8,326Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,812Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,792Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,971Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,755Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","8,727Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,"12,920Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,"6,207Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","16,324Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,375Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","6,570Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,nan,nan,8973,8973,1,2019-11-28 09:25:52
Loch Eye,2000,5000.0,9000.0,38000.0,10000,12000.0,nan,10000.0,3470.0,3970.0,nan,nan,16607.0,433.0,6186,479,6670.0,568,3175,524,2075,698,(543),1850,305,1550,"5,313Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",12136,"1,631Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","6,013WWT/JNCC National Grey Goose Censusnull","2,574Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",400,"2,269Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,463Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,378unspecified sea-watchnull","2,526Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,762Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,219Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,274Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,492Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Nov,3055,3055,1,2019-11-28 09:25:52
Forth Estuary,180,36.0,90.0,1101.0,1010,117.0,30.0,57.0,47.0,260.0,303.0,159.0,865.0,1045.0,425Standard visit under the WeBS Low Tide Count SurveyWeBS,408,349.0,624,640,380,133,217,321,826,1564,792,802,2107,(471),875,936Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,783,1101,482,2145,1534,3179,2088,3415,3432,Sep,2730,2730,1,2019-11-28 09:25:52
Loch Watten,90,215.0,780.0,830.0,346,27.0,20.0,65.0,750.0,475.0,338.0,650.0,801.0,628.0,4500,661,1593.0,2600,2500,141,550,303,8,3150,958,469,1310,395,708,600,2080,1273,400,"2,900Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,715Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,730Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,047Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",421,2490,Nov,2098,2098,1,2019-11-28 09:25:52
Killimster Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,2500,nan,0,nan,nan,0,nan,nan,nan,nan,646,21,42,68,0,510,"1,690Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,434Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",6,3868,"1,890Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",220Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Nov,1684,1684,1,2019-11-28 09:25:52
Bute,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,100Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,nan,"1,055Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","1,780Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,530Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,300Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","1,380Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,780Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,110Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,670WWT/JNCC National Grey Goose Censusnull","1,960WWT/JNCC National Grey Goose Censusnull","3,800SNH countsSNH Islay office","2,550Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","8,010Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,750Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,930SNH countsSNH Islay office","1,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,555Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,140Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,nan,1398,1398,1,2019-11-28 09:25:52
Greenlaw Farm Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,930Supplementary visit under the WeBS Core Count SurveyWeBS,"1,129Supplementary visit under the WeBS Core Count SurveyWeBS","1,805Supplementary visit under the WeBS Core Count SurveyWeBS",842Supplementary visit under the WeBS Core Count SurveyWeBS,"1,840Supplementary visit under the WeBS Core Count SurveyWeBS",Sep,1309,1309,1,2019-11-28 09:25:52
Island of Papa Westray,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,(0),(0),929Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,812Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,1042,1062,1408,"(1,712)",1684,1398,1521,1382,1097,1105,1183,1314,Feb,1216,1216,1,2019-11-28 09:25:52
Upper Badenoch Sites: Aviemore to Spey Dam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,393Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,387Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,"1,120Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,nan,nan,1120,1120,1,2019-11-28 09:25:52
Cromarty Firth,1506,2800.0,1385.0,2365.0,2570,3701.0,0.0,442.0,4213.0,4042.0,1552.0,5397.0,1567.0,781.0,2110,2533,2999.0,462,808,(509),953,703Standard visit under the WeBS Low Tide Count SurveyWeBS,5649,3546,1286,682Standard visit under the WeBS Low Tide Count SurveyWeBS,"3,300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,430Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",807Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"5,068WWT/JNCC National Grey Goose Censusnull",992,"2,501Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",914Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"4,562Standard visit under the WeBS Low Tide Count SurveyWeBS","3,900unspecified sea-watchnull","2,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",1124,615,533Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,752Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Nov,1105,1105,1,2019-11-28 09:25:52
